C1=CC=C(C=C1)N2C(=NN=N2)SCC3=CC=CC=C3F
C1OC2=C(O1)C=C(C=C2)C3C=C(NN3C(=O)C4=CC=C(C=C4)Cl)C5=CC=CC=C5
COC1=C(C=C(C=C1)C2=NC3=C(C=C(C=C3)S(=O)(=O)N4CCCCCC4)C(=C2)C(=O)O)Cl
CC1=NN=C2N1N=C(S2)C3=CC(=CC=C3)NC(=O)C4=CC(=C(C=C4)N5CCCCC5)[N+](=O)[O-]
CC(=O)NC[C@H](C1=CC2=C(C=C1)OCO2)[NH+]3CCN(CC3)C4=CC=CC=C4F
CC1=C([C@H](CC(=O)N1)C2=C(C(=CC=C2)Cl)Cl)C(=O)OCCOC(C)C
CC1=CC(=C(C=C1)C)OCC(=O)N/N=C(/C)\\C2=CC(=C(C=C2)OC(F)F)OC
CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(C[C@H]([C@@H]([C@@]([C@@H]5[C@@H](C[C@]4([C@@]3(CC2)C)C)O)(C)COC(=O)C6=CC(=C(C(=C6)O)O)O)O)O)C)C(=O)OC7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O
CC1=C(OC2=C1C(CC(C2)(C)C)O)C(=O)N3CCN(CC3)C4=CC(=CC=C4)Cl
CCOC(=O)C1=CS(=O)(=O)C2=CC=CC=C21
CN(C1CCCC1)S(=O)(=O)C2=CC=C(C=C2)C(=O)OC
CCSC1=CC=CC=C1C(=O)NCCOC2=CC=C(C=C2)OC
CC1=CC2=NC3=C(CCN3NC(=O)C4=CC=C(C=C4)Br)C=C2C=C1
CC1=C(C(=NN1C)C)CN(C)C(=O)C2=C(C=NN2C)Cl
C1=CC=NC(=C1)/C(=C/C(=O)O)/C(=O)O
C1=CC=C2C(=C1)C(=C(O2)C3=CC=C(C=C3)O)C(=O)C4=CC=C(C=C4)Cl
CC1=C(C=C(C=C1)N2C(=NN=N2)SC(C)C(=O)NC3=CC(=C(C=C3)Cl)S(=O)(=O)N(C)C)C
C[C@H]1C[C@@H]1C(=O)N[C@@H](C)C2=CC(=CC=C2)NC(=O)C
CCCN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=O)CCCC3=NC=C(O3)C4=CC=CC=C4
COC(=O)[C@@]([C@@H](C(=O)NC1=CC=C(C=C1)I)Cl)(C(F)(F)F)O
CCC(C)C(CN1C(CCCC1C)C)N
CN(CC(=O)OC)C(=O)C1=CNC2=CC=CC=C2C1=O
COC(=O)C1=C(NN=C1)S(=O)(=O)N2CCSCC2
C1CN(C[C@H]([C@@H]1C2=CC3=C(C=C2)OCO3)O)C(=O)C4=NC5=C(C=CC=N5)C=C4
CCC1=CC=CC=C1N(CC(=O)NC2=CC=C(C=C2)CC#N)S(=O)(=O)C3=CC=C(C=C3)C
CC1=CC=C(C=C1)N(CCC(=O)NCC(F)(F)F)S(=O)(=O)C2=CC=C(C=C2)C
COCOC1=CC=C(C=C1)CC2=CC=CC=C2
CC1CN(CC(O1)C)S(=O)(=O)N2CCN(CC2)C(=O)C(C)OC3=CC=CC(=C3)C#N
CC(C)NC1=NC(=NC(=N1)NC2=CC=CC=C2OC)N3CCN(CC3)CCN(C)C
CC1=C(C(=NN1C2=CC=C(C=C2)C#N)C)COC3=CC=C(C=C3)OC4=CC=CC=C4
CCN(CC1=CC=C(C=C1)OCC2(CCCC2)N)C3=C(C=CC(=C3)OC)[C@@H]4CCC5=C(C4)C=CC(=C5)O
C1=CC(=CC=C1OC2=NC=C(C=C2)CC3=NOC(=C3)C4=CN=C(C=C4)N)F
CC1=C(/C(=C\\C2=CC=CC=C2[N+](=O)[O-])/C(=O)C1)OC(=O)C
CC1CN(CC(O1)C)C(=O)NC2CCSC3=C2C=CC=C3F
