COC1=CC=CC(=C1)C2=NC3=C(C=CC=C3N2)C(=O)N
C1=CC2=C(C=CC3=C2C(=C1)C(=O)NC3=O)N
CN(C)CC(=O)NC1=CC2=C(C=C1)NC(=O)C3=CC=CC=C32
C1=CC=C2C(=C1)C=CNC2=O
CC1=C2CCNC(=O)C2=CC=C1
C1CN2C=CC3=C2C(=CC=C3)C(=O)N1
C1=CC=C2C(=C1)C3=C(C=C(C=C3)C(=O)O)NC2=O
C1CN(CC=C1C2=CC=CC=C2)CCCCN3C4=C(C(=CC=C4)F)C(=O)NC3=O
CC1=NC2=CC=CC3=C2N1CCNC3=O
C1CN(CC2=CC=CC=C21)C(=O)COC3=CC=CC=C3C(=O)N
C1C2=CNC3=CC=CC(=C23)C(=O)N1
CCCN1CC2=C(C1=O)C(=CC=C2)C(=O)N
C1=CC=C(C=C1)C2=NN(C(=O)C3=CC=CC=C32)CCC(=O)NC4=CC(=CC=C4)Cl
C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)O)O
C1C2=C(NC3=CC=CC(=C23)C(=O)N1)C4=CC=CC=C4
C1CC(CNC1)C2=NC3=C(C=CC=C3N2)C(=O)N
C1CN2C(=CC3=C2C(=CC=C3)C(=O)N1)C4=CC=C(C=C4)F
CN1CCN(CC1)C2=NC3=C(C=C2)NC(=O)C4=CC=CC=C43
CN(C)CC1=CC=C(C=C1)C2=CC3=C4N2CCNC(=O)C4=CC=C3
CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O
C1CNC(=O)C2=C3C1=CNC3=CC=C2
CN1CCCC(C1)C2=NC3=C(C=CC=C3N2)C(=O)N
CN(C)CC1=CC=C(C=C1)C2=NC3=C(C=CC=C3N2)C(=O)N
CN(C)CC1=CC=C(C=C1)C2=CNC(=O)C3=C2C(=CC=C3)O
C1CN2C(=CC3=C2C(=CC=C3)C(=O)N1)C4=CC=C(C=C4)Cl
CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O
C1CC(=O)N(C1=O)C2=CC=CC(=C2)CC3=NNC(=O)C4=CC=CC=C43
C1CN2C(=NC3=CC=CC(=C32)C(=O)N1)CCC4=CC=CC=C4
CN(C)CC1=CC=C(C=C1)C2=C3CNC(=O)C4=C3C(=CC=C4)N2
CN(C)CC1=CC(=CC=C1)C2=C3CCNC(=O)C4=C3C(=CC=C4)N2
C1COCCN1CCNC(=O)C2=CC3=C(C=C2)C4=C(C=C(C=C4)F)C(=O)N3
C1CSCC2=C1N(C(=O)NC2=O)CCC(=O)NCC(=O)N3CCN(CC3)C4=NC=CC=N4
COC(=O)C1=CC2=C(C=C1)C3=C(C=C(C=C3)F)C(=O)N2
C1CN2C3=C(C=CC=C3N=C2C4=CC=CC5=CC=CC=C54)C(=O)N1
CNCC1=CC=C(C=C1)C2=CC3=C4N2CCNC(=O)C4=CC=C3
C1CCC2C(C1)C(=O)NC(=N2)CCCN3CCC(=CC3)C4=CC=CC=C4
C1COCCN1CCCNS(=O)(=O)C2=CC3=C(C=C2)C4=C(C3)C5=CC=CC=C5C(=O)N4
C1CNCCC1C2=NC3=C(C=CC=C3N2)C(=O)N
C1CN2C3=C(C=CC=C3N=C2C4=CC=C(C=C4)Cl)C(=O)N1
C1=CC=C2C(=C1)C(=C3N2C4=CC=CC=C4C(=O)N3)CC5=NNN=N5
CN(C)CC1=CC(=CC=C1)C2=NC3=CC=CC4=C3N2CCNC4=O
C1CNC(=O)C2=C3C1=C(NC3=CC=C2)C4=CC=CS4
C1CC2=C(C1)C3=C(C4=CC=CC=C4N3)C5=C2C(=O)NC5=O
CC1=C2C(=CC=C1)C(=O)NC3=CC(=C(C=C32)N)C(F)(F)F
C1=CC(=C2C(=C1)N=CC(=N2)C3=CC=C(C=C3)C(F)(F)F)C(=O)N
C1CCN(CC1)CCC(=O)N2CCC3=C(C2)C4=C(C=C(C=C4)F)C(=O)N3
CC(=O)N1CCC(CC1)C2=NC3=C(C=CC=C3N2)C(=O)N
CCCN1CCC(CC1)C2=NC3=C(C=CC=C3N2)C(=O)N
CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2
C1CN2C3=C(C=CC=C3N=C2C4=CC=CC=C4)C(=O)N1
CC(=O)C1=CC2=C(C=C1)NC3=C2C4=C(C5=C3CCC5)C(=O)NC4=O
C1CNC(=O)C2=C3C1=C(NC3=CC=C2)C4=CC=CC=C4Cl
C1CCN(CC1)CCCCOC2=CC=CC3=C2CCNC3=O
C1CC2=C(C1)C3=C(C4=C(N3)C=CC(=C4)CN)C5=C2C(=O)NC5=O
COC1=CC=C(C=C1)C2=NC3=C(C=CC=C3N=C2)C(=O)N
C1CCN(CC1)CC(=O)N2CCC3=C(C2)C4=CC=CC=C4C(=O)N3
C1CNC(=O)C2=C3C1=C(NC3=CC=C2)C4=CC=C(C=C4)F
C1=CC(=C2C(=C1)N=C(C=N2)C3=CC=C(C=C3)Cl)C(=O)N
CNCC1=CC=C(C=C1)C2=NC3=C(C=CC=C3N2)C(=O)N
C1=CC(=C2C(=C1)NC(=N2)C3=CC=C(C=C3)[N+](=O)[O-])C(=O)N
C1=CC2=C(C=C1F)C(=O)NC3=C2C=CC(=C3)S(=O)(=O)O
C1CCC2=C(C1)C(=O)NC(=O)N2CCC(=O)NCC(=O)C3=CC4=CC=CC=C4C=C3
COC1=CC=C(C=C1)N2CCN(CC2)C(=O)CNC(=O)CCN3C4=C(CSCC4)C(=O)NC3=O
C1=CC(=C2C(=C1)NC=N2)C(=O)N
C1COCCN1CCNC(=O)C2=CC3=C(C=C2)C4=CC=CC=C4C(=O)N3
C1CCN(CC1)CC(=O)C2=CC3=C(C=C2)NC4=C3C5=C(C6=C4CCC6)C(=O)NC5=O
C1CC2=C(C1)C3=C(C4=C(N3)C=CC(=C4)C(=O)CN5CCOCC5)C6=C2C(=O)NC6=O
C1CN(CC=C1C2=CC=CC=C2)CCCCC3=CC4=C(C=C3)NC(=O)C5=CC=CC=C54
C1CC2=C(C1)C3=C(C4=C(N3)C=CC(=C4)C(=O)CBr)C5=C2C(=O)NC5=O
