acname,acvalue
IC50,5.78
IC50,5.75
IC50,5.7
IC50,5.65
IC50,5.63
IC50,5.62341
IC50,5.62341
IC50,5.61
IC50,5.6
EC90,5.6
IC50,5.6
IC50,5.5
IC50,5.4
IC50,5.4
IC50,5.33
IC50,5.31
IC50,5.3
EC50,5.2
Kd,5.2
IC50,5.14
EC50,5.04
IC50,5.03
IC50,5.01187
IC50,5.01187
IC50,5.01187
IC50,5.01187
IC50,5
EC50,5
EC50,5
IC50,5
Ki,5
IC50,5
IC50,5
EC90,5
EC50,5
EC50,5
IC50,5
IC50,5
IC50,5
IC50,5
IC50,5
IC50,5
IC50,5
IC50,4.86
IC50,4.82
IC50,4.81
IC50,4.81
IC50,4.8
IC50,4.8
IC50,4.78
IC50,4.7
IC50,4.65
IC50,4.65
EC50,4.6
IC50,4.59
IC50,4.533
IC50,4.5
IC50,4.5
IC50,4.46684
EC90,4.4
EC50,4.4
IC50,4.4
IC50,4.4
IC50,4.397
IC50,4.36516
Ki,4.31
IC50,4.3
IC50,4.27
IC50,4.2658
Ki,4.21
IC50,4.2
IC50,4.139
Ki,4.12
IC50,4.11
IC50,4.1
ED50,4.02
EC50,4
IC50,4
IC50,4
IC50,4
IC50,4
IC50,4
IC50,4
IC50,4
IC50,4
IC50,4
IC50,4
IC50,4
IC50,4
IC50,4
IC50,4
IC50,4
IC50,3.9
IC50,3.881
IC50,3.85
IC50,3.76
IC50,3.71535
IC50,3.7
EC50,3.7
IC50,3.7
IC50,3.7
EC50,3.7
IC50,3.7
IC50,3.63078
IC50,3.62
IC50,3.62
IC50,3.6
IC50,3.6
IC50,3.54
IC50,3.51286
EC50,3.5
EC50,3.5
IC50,3.46
IC50,3.4
EC50,3.4
IC50,3.4
IC50,3.32875
IC50,3.31
Ki,3.3
IC50,3.3
IC50,3.3
IC50,3.26
IC50,3.23
EC50,3.2
Ki,3.2
IC50,3.2
IC50,3.19
IC50,3.118
IC50,3.11
IC50,3.105
Ki,3.1
Ki,3.1
Ki,3.1
Activity,3.1
IC50,3.1
IC50,3.07
IC50,3.02
IC50,3
IC50,3
IC50,3
IC50,3
EC50,3
IC50,3
IC50,3
IC50,3
IC50,3
IC50,3
IC50,3
IC50,3
EC50,3
IC50,3
IC50,2.969
IC50,2.96
ED50,2.91
IC50,2.9
EC50,2.9
IC50,2.9
IC50,2.863
IC50,2.85
ED50,2.81
EC50,2.8
EC50,2.8
IC50,2.718
EC50,2.7
EC90,2.7
IC50,2.7
IC50,2.697
IC50,2.69153
IC50,2.65
IC50,2.64
Ki,2.61
IC50,2.6
IC50,2.6
Kd,2.59
IC50,2.586
IC50,2.54
IC50,2.535
ED50,2.53
ED50,2.51
IC50,2.5
IC50,2.5
IC50,2.5
IC50,2.5
IC50,2.5
Ki,2.49
IC50,2.45471
IC50,2.45471
IC50,2.45
IC50,2.43
ED50,2.41
IC50,2.404
EC50,2.4
IC50,2.4
IC50,2.4
IC50,2.4
IC50,2.395
Ki,2.34
IC50,2.3
IC50,2.3
IC50,2.3
IC50,2.28
Ki,2.28
IC50,2.25
IC50,2.22
IC50,2.22
Ki,2.21
IC50,2.2
IC50,2.2
IC50,2.2
ED50,2.19
IC50,2.15
IC50,2.14
IC50,2.14
Ki,2.13
IC50,2.12
IC50,2.12
Ki,2.11
EC90,2.1
IC50,2.1
IC50,2.1
IC50,2.07
IC50,2.05
IC50,2.04
Ki,2.03
IC50,2.01
EC50,2.01
EC50,2
IC50,2
EC90,2
ED50,2
IC50,2
IC50,2
IC50,2
IC50,1.99526
IC50,1.99
IC50,1.98
IC50,1.97
IC50,1.96
IC50,1.96
Ki,1.96
IC50,1.92
IC50,1.9
Activity,1.9
IC50,1.9
IC50,1.9
IC50,1.9
Kd,1.88
Ki,1.88
ED50,1.86
IC50,1.86
IC50,1.8415
Ki,1.82
IC50,1.82
IC50,1.81
IC50,1.8
IC50,1.8
IC50,1.8
Ki,1.77
Kd,1.76
IC50,1.75
IC50,1.72
Ki,1.72
IC50,1.72
Ki,1.71
EC50,1.7
Ki,1.7
IC50,1.7
IC50,1.7
IC50,1.673
IC50,1.66
IC50,1.6347
Ki,1.63
IC50,1.62181
IC50,1.62
Ki,1.61
IC50,1.6
EC50,1.6
ED50,1.6
IC50,1.6
IC50,1.6
IC50,1.6
IC50,1.6
IC50,1.6
Ki,1.59
EC50,1.59
IC50,1.589
Ki,1.57
IC50,1.56
IC50,1.56
IC50,1.54882
Ki,1.54
IC50,1.54
IC50,1.54
IC50,1.53
IC50,1.52
IC50,1.52
EC50,1.51
IC50,1.5
IC50,1.5
Ki,1.489
IC50,1.48
IC50,1.48
IC50,1.452
Ki,1.45
Ki,1.44
Ki,1.44
IC50,1.43
IC50,1.419
IC50,1.4
IC50,1.4
EC50,1.4
IC50,1.4
IC50,1.4
IC50,1.39
IC50,1.39
IC50,1.39
IC50,1.38038
IC50,1.3714
IC50,1.37
IC50,1.37
IC50,1.361
IC50,1.34
IC50,1.32
Kd,1.32
IC50,1.3
EC50,1.3
IC50,1.3
IC50,1.3
IC50,1.3
IC50,1.295
ED50,1.29
IC50,1.28
IC50,1.28
IC50,1.28
IC50,1.2797
IC50,1.263
ED50,1.26
ED50,1.26
Ki,1.26
IC50,1.25893
IC50,1.255
Ki,1.25
Kd,1.25
IC50,1.244
IC50,1.237
Ki,1.23
IC50,1.21
IC50,1.21
IC50,1.21
IC50,1.2
EC50,1.2
EC50,1.2
IC50,1.2
IC50,1.2
IC50,1.2
IC50,1.2
IC50,1.2
IC50,1.193
IC50,1.191
IC50,1.19
IC50,1.19
IC50,1.18
IC50,1.18
IC50,1.17
IC50,1.16
IC50,1.15
IC50,1.14
Ki,1.14
IC50,1.14
IC50,1.12202
Ki,1.12
IC50,1.12
IC50,1.118
IC50,1.105
IC50,1.101
IC50,1.1
IC50,1.1
IC50,1.1
EC50,1.1
EC50,1.1
EC50,1.1
IC50,1.1
IC50,1.1
IC50,1.1
IC50,1.1
IC50,1.1
IC50,1.1
IC50,1.1
IC50,1.09
IC50,1.08286
IC50,1.08
IC50,1.08
IC50,1.0756
IC50,1.07152
IC50,1.07
IC50,1.07
IC50,1.07
IC50,1.06
IC50,1.055
Ki,1.05
Ki,1.05
IC50,1.05
Ki,1.04
IC50,1.034
IC50,1.03381
IC50,1.03
Ki,1.03
IC50,1.03
IC50,1.02
Ki,1.01
IC50,1.008
IC50,1
IC50,1
IC50,1
ED50,1
IC50,1
IC50,1
IC50,1
IC50,1
IC50,1
IC50,1
IC50,1
EC50,1
EC50,1
EC50,1
EC50,1
EC50,1
EC50,1
IC50,1
IC50,1
IC50,1
IC50,1
IC50,1
IC50,1
IC50,1
IC50,1
IC50,1
IC50,1
EC50,1
IC50,1
EC50,1
EC50,1
IC50,1
IC50,1
IC50,1
IC50,1
IC50,0.9834
IC50,0.98
IC50,0.9765
IC50,0.97
EC90,0.97
IC50,0.97
IC50,0.968
Ki,0.963
Ki,0.963
IC50,0.96
IC50,0.951
IC50,0.95
IC50,0.95
IC50,0.949
EC50,0.945
Ki,0.943
IC50,0.94
IC50,0.939
IC50,0.938
IC50,0.93
IC50,0.93
IC50,0.93
IC50,0.93
IC50,0.92
Ki,0.912
IC50,0.91
Ki,0.9
IC50,0.9
IC50,0.9
EC50,0.9
IC50,0.9
EC50,0.9
EC90,0.9
IC50,0.9
IC50,0.9
IC50,0.9
IC50,0.9
Ki,0.892
IC50,0.891
ED50,0.89
IC50,0.89
IC50,0.88
IC50,0.88
IC50,0.88
IC50,0.877
Ki,0.87
Kd,0.87
IC50,0.868
IC50,0.8653
EC50,0.865
EC50,0.864
Ki,0.862
IC50,0.86
IC50,0.857
IC50,0.856
Ki,0.856
IC50,0.854
IC50,0.85114
IC50,0.85114
IC50,0.85
EC50,0.84
ED50,0.84
Ki,0.84
IC50,0.83
IC50,0.83
IC50,0.825
IC50,0.82
IC50,0.82
IC50,0.82
IC50,0.81827
IC50,0.818
IC50,0.813
IC50,0.81283
Ki,0.809
Ki,0.809
IC50,0.8
IC50,0.8
IC50,0.8
EC50,0.8
EC50,0.8
IC50,0.8
IC50,0.8
IC50,0.8
ED50,0.8
IC50,0.8
IC50,0.8
IC50,0.8
IC50,0.8
IC50,0.8
IC50,0.795
Ki,0.794
IC50,0.793
IC50,0.79
Ki,0.789
IC50,0.782
IC50,0.78
Kd,0.78
IC50,0.78
Ki,0.776
IC50,0.774
Ki,0.771
IC50,0.77
IC50,0.77
IC50,0.77
IC50,0.77
ED50,0.77
IC50,0.77
Ki,0.766
IC50,0.76
IC50,0.76
Kd,0.76
IC50,0.76
IC50,0.753
IC50,0.753
IC50,0.75
IC50,0.75
IC50,0.745
IC50,0.74131
Ki,0.741
ED50,0.74
ED50,0.74
EC90,0.74
IC50,0.74
ED50,0.73
IC50,0.73
Ki,0.725
IC50,0.72444
Ki,0.724
EC50,0.72
IC50,0.72
IC50,0.72
IC50,0.718
IC50,0.71
IC50,0.71
IC50,0.708
EC50,0.707
Ki,0.703
IC50,0.7
EC50,0.7
IC50,0.7
IC50,0.7
IC50,0.7
EC50,0.7
IC50,0.7
IC50,0.7
IC50,0.7
IC50,0.7
Ki,0.7
Ki,0.698
IC50,0.695
Ki,0.694
Ki,0.692
Ki,0.691
EC50,0.69
IC50,0.69
IC50,0.685
Ki,0.683
IC50,0.682
Ki,0.682
EC90,0.68
Ki,0.678
Ki,0.673
IC50,0.67
Ki,0.662
IC50,0.66067
EC50,0.66
Ki,0.655
IC50,0.652
IC50,0.651
IC50,0.65
EC50,0.65
EC50,0.65
EC50,0.646
IC50,0.645
Ki,0.644
IC50,0.644
IC50,0.6424
IC50,0.64
Ki,0.639
Ki,0.638
IC50,0.636
Ki,0.635
EC90,0.63
IC50,0.63
IC50,0.63
EC50,0.63
IC50,0.62668
Ki,0.626
EC50,0.625
Kd,0.62
IC50,0.62
IC50,0.62
